skill,year,job_postings,avg_salary_usd,automation_risk,course_count,hiring_trend
Python,2019,97000,96000,0.13,14200,0.15
Python,2020,118000,101000,0.12,17800,0.22
Python,2021,152000,108000,0.11,21400,0.28
Python,2022,187000,115000,0.10,24600,0.23
Python,2023,218000,121000,0.10,27900,0.17
Python,2024,259000,128000,0.09,31200,0.19
Machine Learning,2019,24700,114000,0.08,3800,0.48
Machine Learning,2020,38500,122000,0.08,5600,0.56
Machine Learning,2021,57200,133000,0.07,8400,0.49
Machine Learning,2022,84600,144000,0.07,11200,0.48
Machine Learning,2023,117000,155000,0.06,15300,0.38
Machine Learning,2024,162000,166000,0.06,18900,0.38
SQL,2019,108000,82000,0.29,9100,0.03
SQL,2020,113000,84000,0.29,9500,0.05
SQL,2021,119000,86000,0.28,10100,0.05
SQL,2022,127000,88000,0.28,10900,0.07
SQL,2023,134000,91000,0.27,11800,0.06
SQL,2024,141000,94000,0.26,12600,0.05
Cloud Computing,2019,46000,108000,0.11,4900,0.54
Cloud Computing,2020,68000,114000,0.10,7200,0.48
Cloud Computing,2021,101000,121000,0.10,10600,0.49
Cloud Computing,2022,141000,128000,0.09,14300,0.40
Cloud Computing,2023,188000,135000,0.09,18100,0.33
Cloud Computing,2024,234000,143000,0.08,22700,0.25
DevOps,2019,31000,111000,0.13,3100,0.37
DevOps,2020,41000,116000,0.12,4100,0.32
DevOps,2021,54000,122000,0.11,5400,0.32
DevOps,2022,70000,128000,0.10,7100,0.30
DevOps,2023,89000,135000,0.09,9200,0.27
DevOps,2024,111000,143000,0.09,11600,0.25
Data Entry,2019,168000,33000,0.90,1800,0.00
Data Entry,2020,143000,32000,0.90,1600,-0.15
Data Entry,2021,119000,31000,0.91,1300,-0.17
Data Entry,2022,94000,30000,0.92,1000,-0.21
Data Entry,2023,72000,29000,0.93,780,-0.24
Data Entry,2024,53000,28000,0.93,590,-0.26
Manual Testing,2019,71000,54000,0.72,5900,-0.04
Manual Testing,2020,65000,53000,0.73,5400,-0.08
Manual Testing,2021,57000,52000,0.74,4700,-0.12
Manual Testing,2022,47000,50000,0.75,3900,-0.17
Manual Testing,2023,38000,48000,0.76,3100,-0.19
Manual Testing,2024,30000,46000,0.77,2500,-0.21
Excel,2019,131000,44000,0.59,16400,-0.01
Excel,2020,121000,43000,0.61,15600,-0.08
Excel,2021,109000,42000,0.62,14300,-0.10
Excel,2022,93000,40000,0.64,12600,-0.15
Excel,2023,77000,38000,0.65,10500,-0.17
Excel,2024,63000,36000,0.67,8700,-0.18
Power BI,2019,22000,74000,0.26,2600,0.32
Power BI,2020,29000,77000,0.25,3500,0.32
Power BI,2021,39000,81000,0.24,4900,0.34
Power BI,2022,51000,85000,0.23,6600,0.31
Power BI,2023,66000,90000,0.22,8700,0.29
Power BI,2024,83000,95000,0.21,11000,0.26
Photoshop,2019,61000,60000,0.69,6900,-0.02
Photoshop,2020,57000,59000,0.70,6400,-0.07
Photoshop,2021,51000,57000,0.72,5700,-0.10
Photoshop,2022,43000,54000,0.74,4900,-0.16
Photoshop,2023,34000,51000,0.76,3900,-0.21
Photoshop,2024,27000,48000,0.78,3100,-0.21
Selenium,2019,27000,74000,0.40,3600,0.11
Selenium,2020,29000,76000,0.43,3900,0.07
Selenium,2021,31000,78000,0.46,4300,0.07
Selenium,2022,33000,80000,0.49,4700,0.06
Selenium,2023,32000,80000,0.53,4800,-0.03
Selenium,2024,30000,79000,0.56,4600,-0.06
Kubernetes,2019,16000,122000,0.07,1700,0.82
Kubernetes,2020,25000,127000,0.07,2600,0.56
Kubernetes,2021,38000,132000,0.06,3900,0.52
Kubernetes,2022,54000,138000,0.06,5600,0.42
Kubernetes,2023,72000,145000,0.05,7600,0.33
Kubernetes,2024,93000,153000,0.05,10000,0.29
Generative AI,2022,6200,149000,0.04,1100,0.00
Generative AI,2023,41000,163000,0.04,7200,5.61
Generative AI,2024,118000,178000,0.04,19400,1.88
LLM Fine-tuning,2022,1800,157000,0.03,340,0.00
LLM Fine-tuning,2023,11200,173000,0.03,2300,5.22
LLM Fine-tuning,2024,39000,191000,0.03,7100,2.48
MLOps,2020,4100,131000,0.05,620,0.00
MLOps,2021,8600,138000,0.05,1280,1.10
MLOps,2022,17800,146000,0.05,2700,1.07
MLOps,2023,33000,155000,0.05,5100,0.85
MLOps,2024,56000,164000,0.04,8800,0.70
Data Engineering,2019,21000,111000,0.09,2800,0.33
Data Engineering,2020,30000,116000,0.09,3900,0.43
Data Engineering,2021,43000,122000,0.08,5700,0.43
Data Engineering,2022,61000,129000,0.08,8100,0.42
Data Engineering,2023,83000,137000,0.07,11200,0.36
Data Engineering,2024,109000,146000,0.07,14900,0.31
